date,company,text,unfair
,배달의민족,"단, “회사”는 “회원”이 게시하거나 등록하는 게시물이 다음 각 호에 해당한다고 판단되는 경우 해당 게시물을 사전통지 없이 차단 또는 임시조치(블라인드)할 수 있고, 이 경우에 “회사”는 “회원”에게 지체없이 그 사유를 통지합니다. 게시물의 차단 또는 임시조치에 대해 “회원”은 배달의민족 고객센터를 통해 이의를 제기하실 수 있습니다.",FALSE
,요기요,"귀하가 요기요서비스에서 탈퇴하는 경우, 회사는 귀하의 게시물을 귀하의 별도의 동의 없이 삭제할 수 있습니다. 또한 회사는 필요하다고 판단되는 경우 해당 게시물을 삭제하지 않고 요기요서비스 내에 그대로 게시하거나 사업적 협력관계에 있는 제3자와 공유할 수 있는 권한을 가집니다.",TRUE
,요기요,"귀하가 요기요서비스에서 탈퇴하는 경우, 회사는 귀하의 게시물을 귀하의 별도의 동의 없이 삭제할 수 있습니다. 또한 회사는 해당 게시물을 삭제하지 않고 요기요 서비스 내에 그대로 게시할 수 있습니다. 단, 탈퇴한 고객의 삭제 요청이 있는 경우 회사는 해당 요청에 따라 고객의 게시물을 삭제할 수 있습니다.",FALSE
,요기요,회사”는 “회원”이 “회사”에 귀속하는 저작권 등 지적재산권을 침해한 경우 별도의 통보절차 없이 회원의 자격을 정지할 수 있습니다.,TRUE
,요기요,회사”는 “회원”이 “회사”의 명예를 대외적으로 훼손시켰다고 인정되는 경우 별도의 통보절차 없이 회원의 자격을 정지할 수 있습니다.,TRUE
,요기요,회사”는 “회원”이기타 “회사”가 정한 가입요건이 미비 되었거나 회원으로서 자격을 지속시키는 것이 부적절하다고 판단되는 경우 별도의 통보절차 없이 회원의 자격을 정지할 수 있습니다.,TRUE
,요기요,“회사”는 “회원”이 “회사” 및 기타 제3자에 귀속하는 저작권 등 지적재산권을 침해하였음이 객관적으로 인정되는 경우 제3항의 절차에 따라 회원의 자격을 정지할 수 있습니다.,FALSE
,요기요,“회사”는 “회원”이 “회사” 및 제3자의 명예를 대외적으로 훼손하였음이 객관적으로 인정되는 경우 제4항의 절차에 따라 회원의 자격을 정지할 수 있습니다.,FALSE
,요기요,“회사”는 “회원”이 “요기요”가 정한 회원가입요건이 미비된 경우 제5항의 절차에 따라 회원의 자격을 정지할 수 있습니다.,FALSE
,요기요,"“회사”는 본조 제2항의 사유가 발생하는 경우 원칙적으로 회원에게 사전 고지 후 자격을 정지할 수 있지만, 예외적으로 법령상 의무를 준수하기 위한 경우이거나, 이용자, 제3자 및 “요기요”의 중대한 손해를 방지하기 위하여 불가피한 경우이거나, 동항 제3호, 제5호, 제6호를 중대하게 위반하는 경우에는 예외적으로 사전 고지 없이 자격을 정지할 수 있으나, 이 경우에도 지체 없이 그 사실을 회원에게 고지할 것입니다. 자격정지에 관한 고지는 제11조 제1항에서 정한 방법으로 합니다.",FALSE
,요기요,"자격정지 등을 고지받은 회원은 이에 이의를 제기하고자 하는 경우 “회사”의 고객센터에 연락할 수 있으며, 자격정지 사유가 해소된 경우 “회사”는 “회원”의 자격을 복구합니다.",FALSE
,요기요,“회원”이 제3항에 따라 자격이 정지된 이후 동일한 행위가 2회 이상 반복되거나 자격이 정지된 날로부터 30일 이내에 그 사유가 시정되지 않는 경우 “회원”의 자격이 상실됩니다.,FALSE
,요기요,"“회사”가 회원자격을 상실시키는 경우에는 회원 등록을 말소합니다. 본 경우 “회원”에게 이를 통지하고, 회원등록 말소 전에 최소한 30일 이상의 기간을 정하여 소명할 기회를 부여합니다. ",FALSE
,배달의민족,"회사가 제공하는 리뷰 서비스와 관련하여 “업주”가 기타 배달의민족 리뷰관리정책 등에 위반되는 행위를 하는 경우, “회사”는 즉시 리뷰작성 권한 또는 “서비스” 이용권한 등을 제한하거나, 사전 통지 없이 해당 리뷰의 삭제 또는 임시조치, 광고 중단 등의 조치를 할 수 있습니다.",TRUE
,배달의민족,"본 조 제1항의 부적합한 리뷰에 해당하여 회사가 리뷰 삭제 또는 임시조치, 광고 중단 등의 조치를 취한 경우, 회사는 그 처리결과 및 사유를 해당 리뷰 게시판에 노출할 수 있습니다.",TRUE
,배달의민족,"회사가 제공하는 리뷰 서비스와 관련하여 “업주”가 다음 각 호 중 하나에 해당하는 행위를 하는 경우,  “회사”는 사전 통지 없이 해당 리뷰의 차단 또는 이에 준하는 임시조치를 할 수 있고, 이 경우에 회사는 “업주”에게 지체없이 그 사유를 통지하지만, “업주”가 다음 각 호 중 하나에 해당하는 행위를 중대하게 위반하거나 반복적으로 행하는 경우, 회사는 “업주”에게 사전 통지하고 리뷰작성 권한 또는 “서비스” 이용권한 등을 제한하거나 광고 중단 또는 광고계약 해지의 조치를 취할 수 있습니다. ",FALSE
,배달의민족,"이러한 임시조치, 광고 중단 등 제반 조치에 대해 “업주”는 배달의민족 고객센터를 통해 이의를 제기하실 수 있습니다.",FALSE
,요기요,"“회사”는 “회원”이 작성하여 게시한 “게시물”을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호하지만, 다음 각 호의 어느 하나에 해당하는 게시물에 대해서는 “회원”에게 공개적 또는 개별적으로 경고한 후 삭제할 수 있고, 상기 경고는 “회사”의 판단에 따라 생략할 수 있습니다. ",TRUE
,요기요,"회사”는 “회원”이 작성하여 게시한 “게시물”을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호하지만, 다음 각 호의 어느 하나에 해당하는 게시물에 대해서는 “회원”에게 개별적으로 고지한 후 제한할 수 있으나, 위법행위가 명백하거나 이를 방치하면 회복할 수 없는 중대한 피해가 발생할 우려가 존재하는 경우 또는 이미 위 절차에 따라 삭제된 게시물의 내용과 유사한 내용을 반복적으로 게시하는 경우, 위와 같은 고지절차를 생략하고 해당 게시물을 일시적으로 제한할 수 있고, “회원”는 당사 고객센터를 통해 위와 같은 일시적인 제한에 대하여 이의를 제기할 수 있습니다.",FALSE
,요기요,"“회원”가 “요기요 사장님사이트”에서 탈퇴하는 경우, “회사”는 “회원”의 게시물을 귀하의 별도의 동의 없이 삭제할 수 있습니다. 또한 회사는 필요하다고 판단되는 경우 해당 게시물을 삭제하지 않고 “요기요 사장님사이트” 내에 그대로 게시하거나 사업적 협력관계에 있는 제3자와 공유할 수 있는 권한을 가집니다.",TRUE
,요기요,"“회원”가 “요기요 사장님사이트”에서 탈퇴하는 경우, “회사”는 “회원”의 게시물을 귀하의 별도의 동의 없이 삭제할 수 있습니다. 또한 “회사”는 해당 게시물을 삭제하지 않고 “요기요 사장님사이트” 내에 그대로 게시할 수 있습니다. 단, 탈퇴한 고객의 삭제 요청이 있는 경우 회사는 해당 요청에 따라 고객의 게시물을 삭제할 수 있습니다.",FALSE
,배달의민족,“회사”는 기타 이 약관에 위배되거나 위법 또는 부당한 이용신청임이 확인된 경우 및 회사가 합리적인 판단에 의하여 필요하다고 인정하는 경우 승인을 하지 않거나 사후에 이용계약을 해지할 수 있습니다.,TRUE
,배달의민족,“회사”는 기타 이 약관에 위배되거나 위법 또는 부당한 이용신청임이 확인된 경우 및 이에 준하는 사유가 발생한 경우 승인을 하지 않을 수 있습니다.,FALSE
,배달의민족,"“회사”는 기타 “회원“이 이 약관 및 ”회사“의 정책에 위배되는 행위를 하거나 이 약관에서 정한 해지사유가 발생한 경우, 이용계약을 해지할 수 있고, 이 경우 “회사”는 “회원”에게 전자우편, 전화, 팩스 기타의 방법을 통하여 해지사유를 밝혀 해지의사를 통지합니다.",TRUE
,배달의민족,"“회사”는 기타 “회원“이 이 약관에 위배되는 행위를 하거나 이 약관에서 정한 해지사유가 발생한 경우, 이용계약을 해지할 수 있고, 이 경우 “회사”는 “회원”에게 전자우편, 전화, 팩스 기타의 방법을 통하여 해지사유를 밝혀 해지의사를 통지합니다.",FALSE
,배달의민족,"“이용자”는 관계법령 및 이 약관의 규정, “회사”의 정책, 이용안내 등 “회사”가 통지 또는 공지하는 사항을 준수하여야 하며, 기타 “회사” 업무에 방해되는 행위를 하여서는 안됩니다.",TRUE
,배달의민족,"""이용자""는 서비스 이용과 관련하여 정당한 사유없이 주문과 취소를 수회 반복하여 “회사”의 서비스를 방해하는 행위를 하여서는 안되고, 이 때, 각 호의 행위에 관한 구체적인 내용에 대해서는 “회사”의 정책, 이용안내 등에 따릅니다.",FALSE
,배달의민족,"이용자”는 서비스 이용과 관련하여  만나서 결제 방식 선택 후 정당한 사유 없이 “재화 등”에 대한 대금을 미지급하는 행위를 하여서는 안되고, 이 때, 각 호의 행위에 관한 구체적인 내용에 대해서는 “회사”의 정책, 이용안내 등에 따릅니다.",FALSE
,배달의민족,"이용자”는 서비스 이용과 관련하여 주문한 음식 외에 담배, 주류, 음란물의 구매 대행을 요청하는 등 “회사”가 제공하는 서비스와 무관한 용역을 요청하는 행위를 하여서는 안되고, 이 때, 각 호의 행위에 관한 구체적인 내용에 대해서는 “회사”의 정책, 이용안내 등에 따릅니다.",FALSE
,배달의민족,"단, “회사”는 “회원”이 게시하거나 등록하는 게시물이 기타 회사의 서비스 약관, 운영정책 등 위반행위를 할 우려가 있거나 위반행위를 한 경우 해당 게시물을 사전통지 없이 삭제 또는 임시조치(블라인드)할 수 있습니다.",TRUE
,배달의민족,"단, “회사”는 “회원”이 게시하거나 등록하는 게시물이 기타 위 각 호의 사유에 준하는 사유가 발생한 경우 해당 게시물을 사전통지 없이 차단 또는 임시조치(블라인드)할 수 있고, 이 경우에 “회사”는 “회원”에게 지체없이 그 사유를 통지하며, 게시물의 차단 또는 임시조치에 대해 “회원”은 배달의민족 고객센터를 통해 이의를 제기하실 수 있습니다.",FALSE
,배달의민족,"상품의 주문 및 배달과 관련하여 “업주”와 “이용자”, 배달대행업체, 금융기관 등의 사이에 분쟁 등이 발생하면 관련 당사자가 해결해야 하며, “회사”는 이에 대해 어떠한 책임도 부담하지 않습니다.",TRUE
,배달의민족,"회사가 관련 법령에 따라 법률상 책임을 지는 경우를 제외하면, 상품의 주문 및 배달과 관련하여 “업주”와 “이용자”, 배달대행업체, 금융기관 등의 사이에 분쟁 등이 발생하면 관련 당사자가 해결해야 합니다.",FALSE
,배달의민족,"배달 이용요금의 취소·환불은 제23조 규정을 준용하지만, 단, “회사”가 인정하는 특별한 사정이 없는 한 “재화 등”에 대한 배달 상품과 분리하여 취소·환불되지 않습니다.",TRUE
,배달의민족,"배달 이용요금의 취소·환불은 제23조 규정을 준용하지만, 단 특별한 사정이 없는 한 “재화 등”에 대한 배달 상품과 분리하여 취소·환불되지 않습니다.",FALSE
,요기요,“요기요”는 기타 중대한 사유로 인하여 회사가 서비스 제공을 지속하는 것이 부적당하다고 인정하는 경우에는 이용자의 서비스 이용을 제한하거나 중지할 수 있습니다.,TRUE
,요기요,요기요”는 회원이 “요기요”에 귀속하는 저작권 등 지적재산권을 침해한 경우 별도의 통보절차 없이 회원의 자격을 정지할 수 있습니다.,TRUE
,요기요,요기요”는 회원이  “요기요”의 명예를 대외적으로 훼손시켰다고 인정되는 경우 별도의 통보절차 없이 회원의 자격을 정지할 수 있습니다.,TRUE
,요기요,요기요”는 회원이 기타 “요기요”가 정한 회원가입요건이 미비되었거나 회원으로서 자격을 지속시키는 것이 부적절하다고 판단되는 경우 별도의 통보절차 없이 회원의 자격을 정지할 수 있습니다.,TRUE
,요기요,요기요”는 기타 위 각 호에 준하는 중대한 사유로 인하여 회사가 서비스 제공을 지속하는 것이 부적당하다고 합리적으로 인정되는 경우에는 이용자의 서비스 이용을 제한하거나 중지할 수 있습니다.,FALSE
,요기요,제1항에 의한 서비스중지의 경우에는 “요기요”는 본 약관 제10조에 정한 방법으로 이용자에게 통지합니다.,FALSE
,요기요,"“요기요”가 회원에 대한 통지를 하는 경우, 회원이 “요기요”와 미리 약정하여 지정한 전자우편주소로 할 수 있습니다.",FALSE
,요기요,"""요기요”는 불특정다수 회원에 대한 통지의 경우 1주일 이상 “요기요” 게시판에 게시함으로써 개별 통지에 갈음할 수 있지만, 회원 본인의 거래와 관련하여 중대한 영향을 미치는 사항에 대하여는 개별통지를 합니다.",FALSE
,요기요,“요기요”는 회원이 “요기요” 및 기타 제3자에 귀속하는 저작권 등 지적재산권을 침해하였음이 객관적으로 인정되는 경우 제5항의 절차에 따라 회원의 자격을 정지할 수 있습니다.,FALSE
,요기요,“요기요”는 회원이 “요기요” 및 기타 제3자의 명예를 대외적으로 훼손하였음이 객관적으로 인정되는 경우 제6항의 절차에 따라 회원의 자격을 정지할 수 있습니다.,FALSE
,요기요,“요기요”는 회원이 “요기요”가 정한 회원가입요건이 미비된 경우 제7항의 절차에 따라 회원의 자격을 정지할 수 있습니다.,FALSE
,요기요,"“요기요”는 본조 제3항의 사유가 발생하는 경우 원칙적으로 회원에게 사전 고지 후 자격을 정지할 수 있지만, 예외적으로 법령상 의무를 준수하기 위한 경우이거나, 이용자, 제3자 및 ‘요기요’의 중대한 손해를 방지하기 위하여 불가피한 경우이거나 동항 제3호, 제6호, 제7호를 중대하게 위반하는 경우에는 예외적으로 사전 고지 없이 자격을 정지할 수 있으나, 이 경우에도 지체없이 그 사실을 회원에게 고지할 것입니다. 자격정지에 관한 고지는 제10조 제1항에서 정한 방법으로 합니다.",FALSE
,요기요,자격정지 등을 고지받은 회원은 이에 이의를 제기하고자 하는 경우 “요기요”의 고객센터에 연락할 수 있습니다.,FALSE
,요기요,“요기요”는 이용자가 구매한 재화 등이 시간을 초과하여 배달되거나 약속한 시간 내에 배달되지 않음으로 인한 이용자의 손해에 대하여 요기요의 귀책사유에 따른 책임을 부담할 수 있습니다.,FALSE
,요기요,“요기요”는 이용자가 구매한 재화 등이 시간을 초과하여 배달되거나 약속한 시간 내에 배달되지 않음으로 인한 이용자의 손해를 배상할 의무가 없으며 배달지연에 대한 책임을 가맹점에서 집니다.,TRUE
,요기요,"“요기요”의 재화 등에 대해 “요기요”의 고의 또는 과실로 인하여 「표시·광고의 공정화에 관한 법률」 제3조 소정의 부당한 표시·광고행위를 함으로써 이용자가 손해를 입은 때에는 이를 배상할 책임을 지지만, 가맹점의 부당한 표시·광고행위로 인한 이용자의 손해에 대해서는 “요기요”가 책임을 부담하지 아니합니다.",TRUE
,요기요,"“요기요”는 이용자의 귀책사유로 인한 서비스 이용의 장애에 대하여 책임을지지 않지만,  회사의 귀책사유로 인한 것일 때에는 회사가 정한 바에 따라 이용자가 입은 손해에 대해 조치를 합니다.",TRUE
,요기요,"단, 상기 경고는 회사의 판단에 따라 생략할 수 있습니다.",TRUE
,요기요,"회사는 귀하가 작성하는 리뷰 등 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. ",FALSE
,요기요,"다만, 다음 각 호의 어느 하나에 해당하는 게시물에 대해서는 이용자에게 개별적으로 고지한 후 제한할 수 있으나, 위법행위가 명백하거나 이를 방치하면 회복할 수 없는 중대한 피해가 발생할 우려가 존재하는 경우 또는 이미 위 절차에 따라 삭제된 게시물의 내용과 유사한 내용을 반복적으로 게시하는 경우, 위와 같은 고지절차를 생략하고 해당 게시물을 일시적으로 제한할 수 있고, 귀하는 당사 고객센터를 통해 위와 같은 일시적인 제한에 대하여 이의를 제기할 수 있습니다.",FALSE
,요기요," 근본적으로 게시물에 관련된 제반 권리와 책임은 작성자 개인에게 있습니다. 특히, 해당 게시물이 제3자의 저작권 등 권리를 침해하는 경우, 침해에 대한 모든 법적 책임은 작성자 개인이 집니다.",TRUE
,요기요,"게시물에 관련된 제반 권리와 책임은 원칙적으로 작성자 개인에게 있으며. 게시물이 제3자의 저작권 등 권리를 침해하는 경우 작성자는 그에 따른 법적 책임을 지지만, 회사의 고의 또는 과실이 있는 경우 회사가 그에 따른 법적 책임을 집니다.",FALSE
,요기요,"귀하가 요기요서비스에서 탈퇴하는 경우, 회사는 귀하의 게시물을 귀하의 별도의 동의 없이 삭제할 수 있고, 회사는 필요하다고 판단되는 경우 해당 게시물을 삭제하지 않고 요기요서비스 내에 그대로 게시하거나 사업적 협력관계에 있는 제3자와 공유할 수 있는 권한을 가집니다.",TRUE
,요기요,"귀하가 요기요서비스에서 탈퇴하는 경우, 회사는 귀하의 게시물을 귀하의 별도의 동의 없이 삭제할 수 있고, 회사는 해당 게시물을 삭제하지 않고 요기요 서비스 내에 그대로 게시할 수 있습니다.",FALSE
,요기요,"회사는 회원이 본 약관에서 정한 회원의 의무를 위반한 경우 등 비정상적인 이용 또는 부당한 이용 등을 이유로 회원에게 사전에 고지하고, 계약을 해지할 수 있습니다.",TRUE
,요기요,"회사는 회원이 본 약관에서 정한 회원의 의무를 위반하거나, 위법한 방법을 통해 서비스의 정상적인 운영을 방해한 경우, 회원에게 사전에 고지하고, 계약을 해지할 수 있습니다.",FALSE
,요기요,"“요기요”는 이용자가 가맹점으로부터 구매한 재화 등에 대해 보증하거나 별도의 책임을 지지 않으며, 재화 등과 관련한 일체의 책임은 가맹점에게 있습니다.",TRUE
,요기요,"“요기요”는 이용자가 가맹점으로부터 구매한 재화 등에 대해 보증하거나 별도의 책임을 지지 않으며, “요기요”의 귀책사유가 없는 한 재화 등과 관련한 일체의 책임은 가맹점에게 있습니다.",FALSE
,요기요,회사는 기간통신사업자 등 전기통신사업자가 전기통신 서비스를 중지하거나 정상적으로 제공하지 아니하여 손해가 발생한 경우에 대해서 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다.,TRUE
,요기요,"회사는 사전에 공지된 서비스용 설비의 보수, 교체, 정기점검, 공사 등 부득이한 사유로 서비스가 중지되거나 장애가 발생한 경우에 대해서 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다.",TRUE
,요기요,"회사는 회원의 귀책사유로 인한 서비스 이용의 중지, 장애 또는 손해가 발생한 경우에 대해서 회사의 고의 또는 중대한 과실이 없는 한 책임이 없습니다.",TRUE
,요기요,회사는 회원이 서비스를 이용하여 기대하는 수익을 얻지 못하거나 상실한 것에 대하여 회사의 고의 또는 중대한 과실이 없는 한 책임이 없습니다.,TRUE
,요기요,회사는 회원이 서비스를 이용하면서 얻은 정보나 자료로 인한 손해 및 타 회원으로 인해 손해가 발생한 경우에 대하여 회사의 고의 또는 중대한 과실이 없는 한 책임을 지지 않습니다.,TRUE
,요기요,회사는 이용고객의 컴퓨터 오류에 의해 손해가 발생한 경우 또는 회원이 회원정보 또는 전자우편 주소를 부실하게 기재하여 손해가 발생한 경우에 대해서는 회사의 고의 또는 중대한 과실이 없는 한 책임을 부담하지 않습니다.,TRUE
,요기요,"회사는 회원이 서비스에 게재한 게시물 등 각종 정보의 신뢰도, 정확성 등 내용에 대하여 회사의 고의 또는 중대한 과실이 없는 한 책임을 부담하지 않습니다.",TRUE
,요기요,"회사는 사전에 공지되지 않은 서비스용 설비의 보수, 교체, 정기점검, 공사 등으로 서비스가 중지되거나 장애가 발생하여 회원에게 손해가 발생한 경우, 회사의 귀책사유에 따른 책임을 부담합니다. ",FALSE
,요기요,"회사는 회사의 귀책사유로 인해 회원에게 서비스 이용의 중지, 장애 또는 손해가 발생한 경우 그에 대한 책임을 부담합니다.",FALSE
,요기요,회사는 회원이 서비스를 이용하면서 얻은 정보나 자료로 인한 손해에 대하여 회사의 귀책사유가 있는 경우 그로 인한 책임을 부담합니다.,FALSE
,배달의 민족,"회사가 제공하는 리뷰 서비스와 관련하여 “업주”가 기타 배달의민족 리뷰관리정책 등에 위반되는 경우, “회사”는 즉시 리뷰작성 권한 또는 “서비스” 이용권한 등을 제한하거나, 사전 통지 없이 해당 리뷰의 삭제 또는 임시조치, 광고 중단 등의 조치를 할 수 있습니다.",TRUE
,배달의 민족,"회사가 제공하는 리뷰 서비스와 관련하여 “업주”가 다음 각 호 중 하나에 해당하는 행위를 하는 경우,  “회사”는 사전 통지 없이 해당 리뷰의 차단 또는 이에 준하는 임시조치를 할 수 있고, 이 경우에 회사는 “업주”에게 지체없이 그 사유를 통지하지만, “업주”가 다음 각 호 중 하나에 해당하는 행위를 중대하게 위반하거나 반복적으로 행하는 경우, 회사는 “업주”에게 사전 통지하고 리뷰작성 권한 또는 “서비스” 이용권한 등을 제한하거나 광고 중단 또는 광고계약 해지의 조치를 취할 수 있고, 이러한 임시조치, 광고 중단 등 제반 조치에 대해 “업주”는 배달의민족 고객센터를 통해 이의를 제기하실 수 있습니다.",FALSE
,배달의 민족,"회사가 제공하는 리뷰 서비스와 관련하여 “업주”가 기타 회사의 리뷰관리정책 등에 위반되는 경우, “회사”는 즉시 리뷰작성 권한 또는 “서비스” 이용권한 등을 제한하거나, 사전 통지 없이 해당 리뷰의 삭제 또는 임시조치(블라인드 처리), 광고 중단 등의 조치를 할 수 있습니다. ",TRUE
,배달의 민족,"회사가 제공하는 리뷰 서비스와 관련하여 “업주”가 다음 각 호 중 하나에 해당하는 행위를 하는 경우, “회사”는 사전 통지 없이 해당 리뷰(메뉴별 한줄평을 포함함, 이하 같음)의 차단 또는 이에 준하는 임시조치(블라인드 처리)를 할 수 있고, 이 경우에 회사는 지체없이 “업주”에게 그 사유를 통지하지만, “업주”가 다음 각 호 중 하나에 해당하는 행위를 중대하게 위반하거나 반복적으로 행하는 경우, 회사는 “업주”에게 사전 통지하고 리뷰작성 권한 또는 “서비스” 이용권한 등을 제한하거나 광고 중단 또는 본 계약의 해지의 조치를 할 수 있고, 이러한 임시조치, 광고 중단 등 제반 조치에 대해 “업주”는 배달의민족 고객센터를 통해 이의를 제기하실 수 있습니다. ",FALSE
,배달의 민족,"“회사”는 요금, 가산금을 최초 납기일의 익일로부터 1월 이내에 납입하지 않은 경우에는 “회원”과의 계약을 해제하거나 해지할 수 있고, 회사가 해제 또는 해지를 하는 경우에는 해제권 또는 해지권의 발생 및 행사 등은 관련 법령을 준수하여 진행합니다.",FALSE
,배달의 민족,"“회사”는요금, 가산금을 최초 납기일의 익일로부터 1월 이내에 납입하지 않은 경우에는 “회원”과의 계약을 해제하거나 해지할 수 있습니다. ",TRUE
,배달의 민족,"회원이 다음 각 호의 사유에 해당하는 경우, “배민사장님광장”은 회원자격을 제한 및/또는 정지, 탈퇴시킬 수 있습니다.",TRUE
,배달의 민족,"“회원”이 다음 각 호의 사유에 해당하는 경우, “회사”는 “회원”에게 사전통지 후 “배민사장님광장”의 회원자격을 제한 및/또는 정지, 탈퇴시킬 수 있습니다.",FALSE
,배달의 민족," “회원”은 “배민사장님광장“에 게시한 ”게시물“이 타인의 저작권 등 권리를 침해하지 않도록 주의하여야 하고, 제3자가 ”게시물“이 자신의 권리를 침해한다며 분쟁을 제기하는 경우 ”회원“은 본인의 책임과 비용으로 해당 분쟁을 해결하며 ”회사“를 면책하여야 합니다.",TRUE
,배달의 민족,"“회원”은 “배민사장님광장“에 게시한 ”게시물“이 타인의 저작권 등 권리를 침해하지 않도록 주의하여 하며, ”회사“가 관련 법령에 따라 법률상 책임을 지는 경우를 제외하면, 제3자가 ”게시물“이 자신의 권리를 침해한다며 분쟁을 제기하는 경우 ”회원“은 본인의 책임과 비용으로 해당 분쟁을 해결해야 합니다.",FALSE
,배달의 민족,“회사”는 “업주”의 귀책사유로 인한 “서비스”이용의 장애에 대하여는 책임을지지 않습니다,TRUE
,배달의 민족, “회사”는 고의 또는 과실이 인정되지 않는 한 “업주”의 귀책사유로 인한 “서비스”이용의 장애에 대하여는 책임을지지 않습니다.,FALSE
,배달의 민족,"“회사”는 “업주”가 “서비스”와 관련하여 제공한 신청자료 및 자신의 웹사이트에 게재한 정보, 자료, 사실의 신뢰도, 정확성 등의 내용에 관하여는 책임을지지 않습니다. ",TRUE
,배달의 민족,"“회사”는 “업주”가 “서비스”와 관련하여 제공한 신청자료 및 자신의 웹사이트에 게재한 정보, 자료, 사실의 신뢰도, 정확성 등의 내용에 관하여는 책임을지지 않지만, 회사의 고의 또는 중대한 과실이 인정되는 경우에는 그러하지 아니합니다.",FALSE
,배달의 민족,"“회사”는 ‘여신금융협회’가 제공하는 신용카드 가맹점 매출거래정보통합조회서비스(https://www.cardsales.or.kr)를 통하여 조회 대행한 ‘신용카드 매출정보’와 “회원”이 지정한 서비스제공사로부터 조회대행한 정보 및 이에 기반하여 “배민장부 서비스”를 통하여 제공되는 정보의 내용과 품질, 진실성, 적법성 등에 대하여 어떠한 책임도 지지 아니합니다. ",TRUE
,배달의 민족,“회사”는 ‘여신금융협회’가 제공하는 신용카드 가맹점 매출거래정보통합조회서비스(https://www.cardsales.or.kr)를 통하여 조회 대행한 ‘신용카드 매출정보’와 “회원”이 지정한 서비스제공사로부터 조회대행한 정보 등에 기반하여 “배민장부 서비스”를 제공합니다.,FALSE
